time_s,reference,response,disturbance,baseline,method_a,method_b
1.74,1,1.1642,0,1.4224,1.1642,1.109
1.76,1,1.1542,0,1.4309,1.1542,1.1047
1.78,1,1.1442,0,1.4387,1.1442,1.1003
1.8,1,1.1342,0,1.4458,1.1342,1.0959
1.82,1,1.1242,0,1.4522,1.1242,1.0915
1.84,1,1.1142,0,1.458,1.1142,1.0871
1.86,1,1.1043,0,1.4632,1.1043,1.0828
1.88,1,1.0944,0,1.4677,1.0944,1.0784
1.9,1,1.0847,0,1.4715,1.0847,1.0741
1.92,1,1.075,0,1.4747,1.075,1.0698
1.94,1,1.0656,0,1.4773,1.0656,1.0655
1.96,1,1.0563,0,1.4793,1.0563,1.0613
1.98,1,1.0471,0,1.4806,1.0471,1.0572
2,1,1.0382,0,1.4814,1.0382,1.0531
2.02,1,1.0295,0,1.4815,1.0295,1.0491
2.04,1,1.0211,0,1.4811,1.0211,1.0452
2.06,1,1.0128,0,1.48,1.0128,1.0414
2.08,1,1.0049,0,1.4784,1.0049,1.0377
2.1,1,0.9972,0,1.4763,0.9972,1.034
2.12,1,0.9897,0,1.4736,0.9897,1.0305
2.14,1,0.9826,0,1.4704,0.9826,1.027
2.16,1,0.9758,0,1.4666,0.9758,1.0237
2.18,1,0.9692,0,1.4624,0.9692,1.0205
2.2,1,0.963,0,1.4576,0.963,1.0174
2.22,1,0.9571,0,1.4524,0.9571,1.0143
2.24,1,0.9515,0,1.4467,0.9515,1.0115
2.26,1,0.9463,0,1.4406,0.9463,1.0087
2.28,1,0.9413,0,1.4341,0.9413,1.006
2.3,1,0.9367,0,1.4271,0.9367,1.0035
2.32,1,0.9324,0,1.4197,0.9324,1.001
2.34,1,0.9285,0,1.4119,0.9285,0.9987
2.36,1,0.9248,0,1.4038,0.9248,0.9965
2.38,1,0.9215,0,1.3953,0.9215,0.9944
2.4,1,0.9185,0,1.3864,0.9185,0.9925
2.42,1,0.9159,0,1.3773,0.9159,0.9906
2.44,1,0.9135,0,1.3678,0.9135,0.9889
2.46,1,0.9114,0,1.3581,0.9114,0.9872
2.48,1,0.9097,0,1.348,0.9097,0.9857
2.5,1,0.9082,0,1.3378,0.9082,0.9843
2.52,1,0.907,0,1.3272,0.907,0.983
2.54,1,0.9062,0,1.3165,0.9062,0.9818
2.56,1,0.9055,0,1.3055,0.9055,0.9807
2.58,1,0.9052,0,1.2944,0.9052,0.9797
2.6,1,0.9051,0,1.2831,0.9051,0.9788
2.62,1,0.9052,0,1.2716,0.9052,0.9779
2.64,1,0.9056,0,1.26,0.9056,0.9772
2.66,1,0.9063,0,1.2483,0.9063,0.9766
2.68,1,0.9071,0,1.2364,0.9071,0.976
2.7,1,0.9082,0,1.2245,0.9082,0.9756
2.72,1,0.9094,0,1.2125,0.9094,0.9752
2.74,1,0.9108,0,1.2004,0.9108,0.9749
2.76,1,0.9125,0,1.1883,0.9125,0.9746
2.78,1,0.9143,0,1.1762,0.9143,0.9745
2.8,1,0.9162,0,1.1641,0.9162,0.9744
2.82,1,0.9183,0,1.1519,0.9183,0.9743
2.84,1,0.9205,0,1.1398,0.9205,0.9743
2.86,1,0.9229,0,1.1277,0.9229,0.9744
2.88,1,0.9254,0,1.1156,0.9254,0.9746
2.9,1,0.9279,0,1.1037,0.9279,0.9748
2.92,1,0.9306,0,1.0918,0.9306,0.975
2.94,1,0.9334,0,1.0799,0.9334,0.9753
2.96,1,0.9362,0,1.0682,0.9362,0.9756
2.98,1,0.9391,0,1.0566,0.9391,0.976
3,1,0.942,0,1.0451,0.942,0.9764
3.02,1,0.963,0.0179,1.0337,0.963,0.9849
3.04,1,0.9835,0.0354,1.0225,0.9835,0.9933
3.06,1,1.0033,0.0521,1.0115,1.0033,1.0013
3.08,1,1.0222,0.068,1.0006,1.0222,1.009
3.1,1,1.0401,0.0828,0.9899,1.0401,1.0162
3.12,1,1.0567,0.0963,0.9794,1.0567,1.0229
3.14,1,1.0719,0.1084,0.9691,1.0719,1.0289
3.16,1,1.0855,0.119,0.959,1.0855,1.0343
3.18,1,1.0974,0.1278,0.9492,1.0974,1.0389
3.2,1,1.1076,0.135,0.9395,1.1076,1.0428
3.22,1,1.1159,0.1403,0.9301,1.1159,1.0458
3.24,1,1.1223,0.1438,0.9209,1.1223,1.048
3.26,1,1.1267,0.1453,0.912,1.1267,1.0494
3.28,1,1.1293,0.1451,0.9033,1.1293,1.0499
3.3,1,1.1299,0.1429,0.8949,1.1299,1.0497
3.32,1,1.1287,0.139,0.8868,1.1287,1.0486
3.34,1,1.1257,0.1333,0.8789,1.1257,1.0467
3.36,1,1.121,0.1261,0.8713,1.121,1.0441
3.38,1,1.1147,0.1173,0.864,1.1147,1.0408
3.4,1,1.107,0.1072,0.857,1.107,1.0369
3.42,1,1.098,0.0958,0.8503,1.098,1.0325
3.44,1,1.0878,0.0834,0.8438,1.0878,1.0276
3.46,1,1.0766,0.0701,0.8377,1.0766,1.0222
3.48,1,1.0646,0.056,0.8319,1.0646,1.0165
3.5,1,1.052,0.0415,0.8263,1.052,1.0106
3.52,1,1.039,0.0266,0.8211,1.039,1.0045
3.54,1,1.0258,0.0116,0.8162,1.0258,0.9984
3.56,1,1.0125,-0.0033,0.8116,1.0125,0.9922
3.58,1,0.9994,-0.018,0.8072,0.9994,0.9862
3.6,1,0.9866,-0.0323,0.8032,0.9866,0.9804
3.62,1,0.9743,-0.0459,0.7995,0.9743,0.9748
3.64,1,0.9627,-0.0588,0.7961,0.9627,0.9695
3.66,1,0.9519,-0.0707,0.793,0.9519,0.9646
3.68,1,0.9421,-0.0816,0.7903,0.9421,0.9602
3.7,1,0.9334,-0.0913,0.7878,0.9334,0.9563
3.72,1,0.9259,-0.0997,0.7856,0.9259,0.953
3.74,1,0.9196,-0.1067,0.7837,0.9196,0.9503
3.76,1,0.9148,-0.1122,0.7821,0.9148,0.9482
3.78,1,0.9113,-0.1163,0.7808,0.9113,0.9468
3.8,1,0.9093,-0.1188,0.7798,0.9093,0.9461
3.82,1,0.9087,-0.1197,0.779,0.9087,0.946
3.84,1,0.9096,-0.1192,0.7786,0.9096,0.9466
3.86,1,0.9119,-0.1171,0.7784,0.9119,0.9479
3.88,1,0.9156,-0.1135,0.7785,0.9156,0.9498
3.9,1,0.9206,-0.1086,0.7789,0.9206,0.9524
3.92,1,0.9269,-0.1023,0.7795,0.9269,0.9555
3.94,1,0.9343,-0.0948,0.7804,0.9343,0.9591
3.96,1,0.9427,-0.0862,0.7815,0.9427,0.9632
3.98,1,0.952,-0.0767,0.7829,0.952,0.9677
4,1,0.9622,-0.0663,0.7846,0.9622,0.9726
4.02,1,0.9729,-0.0552,0.7864,0.9729,0.9778
4.04,1,0.9841,-0.0435,0.7885,0.9841,0.9833
4.06,1,0.9957,-0.0315,0.7908,0.9957,0.9889
4.08,1,1.0075,-0.0192,0.7933,1.0075,0.9945
4.1,1,1.0192,-0.0068,0.7961,1.0192,1.0002
4.12,1,1.0309,0.0054,0.799,1.0309,1.0059
4.14,1,1.0422,0.0175,0.8022,1.0422,1.0114
4.16,1,1.0532,0.0291,0.8055,1.0532,1.0167
4.18,1,1.0635,0.0402,0.809,1.0635,1.0218
4.2,1,1.0732,0.0506,0.8127,1.0732,1.0266
4.22,1,1.082,0.0603,0.8165,1.082,1.031
4.24,1,1.0899,0.069,0.8205,1.0899,1.035
4.26,1,1.0968,0.0768,0.8247,1.0968,1.0385
4.28,1,1.1026,0.0835,0.829,1.1026,1.0415
4.3,1,1.1072,0.089,0.8334,1.1072,1.044
4.32,1,1.1106,0.0933,0.838,1.1106,1.0459
4.34,1,1.1127,0.0963,0.8427,1.1127,1.0473
4.36,1,1.1135,0.0981,0.8475,1.1135,1.0481
4.38,1,1.1131,0.0986,0.8524,1.1131,1.0483
4.4,1,1.1114,0.0978,0.8574,1.1114,1.0479
4.42,1,1.1085,0.0958,0.8625,1.1085,1.047
4.44,1,1.1043,0.0926,0.8676,1.1043,1.0455
4.46,1,1.0991,0.0883,0.8729,1.0991,1.0435
4.48,1,1.0927,0.0829,0.8782,1.0927,1.041
4.5,1,1.0854,0.0766,0.8836,1.0854,1.0381
4.52,1,1.0773,0.0693,0.889,1.0773,1.0347
4.54,1,1.0683,0.0613,0.8945,1.0683,1.0311
4.56,1,1.0587,0.0526,0.9,1.0587,1.0271
4.58,1,1.0486,0.0433,0.9055,1.0486,1.0228
4.6,1,1.038,0.0336,0.9111,1.038,1.0184
4.62,1,1.0272,0.0237,0.9167,1.0272,1.0138
4.64,1,1.0163,0.0135,0.9223,1.0163,1.0091
4.66,1,1.0053,0.0034,0.9279,1.0053,1.0045
4.68,1,0.9944,-0.0067,0.9334,0.9944,0.9998
4.7,1,0.9838,-0.0165,0.939,0.9838,0.9953
4.72,1,0.9736,-0.026,0.9446,0.9736,0.9909
4.74,1,0.9639,-0.0351,0.9501,0.9639,0.9868
4.76,1,0.9548,-0.0435,0.9556,0.9548,0.9829
4.78,1,0.9463,-0.0513,0.9611,0.9463,0.9793
4.8,1,0.9387,-0.0583,0.9665,0.9387,0.976
4.82,1,0.9319,-0.0645,0.9718,0.9319,0.9731
4.84,1,0.9261,-0.0698,0.9771,0.9261,0.9706
4.86,1,0.9212,-0.0741,0.9824,0.9212,0.9686
4.88,1,0.9174,-0.0774,0.9876,0.9174,0.967
4.9,1,0.9147,-0.0797,0.9927,0.9147,0.9659
4.92,1,0.913,-0.0809,0.9977,0.913,0.9652
4.94,1,0.9124,-0.0811,1.0027,0.9124,0.965
4.96,1,0.9129,-0.0803,1.0075,0.9129,0.9653
4.98,1,0.9144,-0.0784,1.0123,0.9144,0.966
5,1,0.917,-0.0756,1.017,0.917,0.9672
5.02,1,0.9204,-0.0718,1.0216,0.9204,0.9688
5.04,1,0.9248,-0.0672,1.0261,0.9248,0.9708
5.06,1,0.93,-0.0618,1.0305,0.93,0.9731
5.08,1,0.9359,-0.0557,1.0347,0.9359,0.9758
5.1,1,0.9425,-0.0489,1.0389,0.9425,0.9788
5.12,1,0.9497,-0.0416,1.0429,0.9497,0.982
5.14,1,0.9573,-0.0339,1.0468,0.9573,0.9853
5.16,1,0.9652,-0.0259,1.0506,0.9652,0.9889
5.18,1,0.9734,-0.0176,1.0543,0.9734,0.9925
5.2,1,0.9817,-0.0093,1.0578,0.9817,0.9962
5.22,1,0.9901,-0.0009,1.0612,0.9901,0.9999
5.24,1,0.9984,0.0073,1.0645,0.9984,1.0035
5.26,1,1.0064,0.0154,1.0677,1.0064,1.0071
5.28,1,1.0142,0.0231,1.0707,1.0142,1.0105
5.3,1,1.0217,0.0305,1.0736,1.0217,1.0138
5.32,1,1.0286,0.0373,1.0763,1.0286,1.0168
5.34,1,1.035,0.0436,1.0789,1.035,1.0196
5.36,1,1.0408,0.0492,1.0814,1.0408,1.022
5.38,1,1.0459,0.0541,1.0837,1.0459,1.0242
5.4,1,1.0502,0.0583,1.0859,1.0502,1.026
5.42,1,1.0538,0.0617,1.0879,1.0538,1.0275
5.44,1,1.0565,0.0642,1.0898,1.0565,1.0286
5.46,1,1.0584,0.0659,1.0916,1.0584,1.0293
5.48,1,1.0595,0.0667,1.0932,1.0595,1.0297
5.5,1,1.0596,0.0667,1.0947,1.0596,1.0296
5.52,1,1.059,0.0658,1.096,1.059,1.0292
5.54,1,1.0575,0.0641,1.0972,1.0575,1.0284
5.56,1,1.0553,0.0616,1.0983,1.0553,1.0272
5.58,1,1.0523,0.0583,1.0992,1.0523,1.0258
5.6,1,1.0486,0.0544,1.1,1.0486,1.024
5.62,1,1.0443,0.0498,1.1006,1.0443,1.0219
5.64,1,1.0394,0.0446,1.1012,1.0394,1.0195
5.66,1,1.0341,0.039,1.1016,1.0341,1.017
5.68,1,1.0283,0.0329,1.1018,1.0283,1.0142
5.7,1,1.0222,0.0265,1.1019,1.0222,1.0113
5.72,1,1.0158,0.0198,1.102,1.0158,1.0083
5.74,1,1.0093,0.013,1.1018,1.0093,1.0053
5.76,1,1.0027,0.0061,1.1016,1.0027,1.0021
5.78,1,0.9961,-0.0008,1.1012,0.9961,0.9991
5.8,1,0.9896,-0.0075,1.1008,0.9896,0.996
5.82,1,0.9833,-0.0141,1.1002,0.9833,0.993
5.84,1,0.9773,-0.0204,1.0995,0.9773,0.9902
5.86,1,0.9716,-0.0264,1.0986,0.9716,0.9875
5.88,1,0.9664,-0.0319,1.0977,0.9664,0.985
5.9,1,0.9616,-0.037,1.0967,0.9616,0.9828
5.92,1,0.9573,-0.0415,1.0956,0.9573,0.9807
5.94,1,0.9537,-0.0454,1.0943,0.9537,0.979
5.96,1,0.9506,-0.0487,1.093,0.9506,0.9775
5.98,1,0.9482,-0.0513,1.0916,0.9482,0.9763
6,1,0.9465,-0.0532,1.0901,0.9465,0.9755
6.02,1,0.9455,-0.0545,1.0886,0.9455,0.9749
6.04,1,0.9452,-0.055,1.0869,0.9452,0.9747
6.06,1,0.9456,-0.0548,1.0851,0.9456,0.9748
6.08,1,0.9467,-0.0539,1.0833,0.9467,0.9752
6.1,1,0.9485,-0.0524,1.0814,0.9485,0.9759
6.12,1,0.9509,-0.0502,1.0795,0.9509,0.9769
6.14,1,0.9538,-0.0473,1.0775,0.9538,0.9782
6.16,1,0.9574,-0.044,1.0754,0.9574,0.9798
6.18,1,0.9614,-0.0401,1.0733,0.9614,0.9815
6.2,1,0.9659,-0.0357,1.0711,0.9659,0.9835
6.22,1,0.9708,-0.031,1.0688,0.9708,0.9856
6.24,1,0.976,-0.0259,1.0666,0.976,0.9879
6.26,1,0.9815,-0.0206,1.0642,0.9815,0.9904
6.28,1,0.9871,-0.0151,1.0619,0.9871,0.9929
6.3,1,0.9928,-0.0094,1.0595,0.9928,0.9954
6.32,1,0.9986,-0.0038,1.057,0.9986,0.998
6.34,1,1.0043,0.0019,1.0546,1.0043,1.0005
6.36,1,1.0099,0.0074,1.0521,1.0099,1.003
6.38,1,1.0153,0.0128,1.0496,1.0153,1.0055
6.4,1,1.0205,0.0179,1.047,1.0205,1.0078
6.42,1,1.0254,0.0228,1.0445,1.0254,1.01
6.44,1,1.0299,0.0272,1.0419,1.0299,1.012
6.46,1,1.034,0.0313,1.0394,1.034,1.0139
6.48,1,1.0377,0.0349,1.0368,1.0377,1.0155
6.5,1,1.0408,0.038,1.0342,1.0408,1.0169
6.52,1,1.0434,0.0406,1.0317,1.0434,1.0181
6.54,1,1.0454,0.0427,1.0291,1.0454,1.019
6.56,1,1.0469,0.0441,1.0265,1.0469,1.0197
6.58,1,1.0477,0.045,1.024,1.0477,1.0201
6.6,1,1.048,0.0453,1.0214,1.048,1.0203
6.62,1,1.0477,0.045,1.0189,1.0477,1.0202
6.64,1,1.0468,0.0442,1.0164,1.0468,1.0198
6.66,1,1.0454,0.0428,1.0139,1.0454,1.0192
6.68,1,1.0434,0.0408,1.0115,1.0434,1.0183
6.7,1,1.0409,0.0384,1.0091,1.0409,1.0172
6.72,1,1.038,0.0355,1.0067,1.038,1.0159
6.74,1,1.0346,0.0322,1.0043,1.0346,1.0145
6.76,1,1.0309,0.0286,1.002,1.0309,1.0128
6.78,1,1.0269,0.0246,0.9997,1.0269,1.0111
6.8,1,1.0226,0.0204,0.9974,1.0226,1.0092
6.82,1,1.0181,0.016,0.9952,1.0181,1.0072
6.84,1,1.0134,0.0114,0.993,1.0134,1.0051
6.86,1,1.0087,0.0067,0.9909,1.0087,1.0031
6.88,1,1.004,0.0021,0.9888,1.004,1.001
6.9,1,0.9992,-0.0026,0.9868,0.9992,0.9989
6.92,1,0.9946,-0.0071,0.9848,0.9946,0.9968
6.94,1,0.9902,-0.0115,0.9829,0.9902,0.9949
6.96,1,0.9859,-0.0157,0.981,0.9859,0.993
6.98,1,0.9819,-0.0196,0.9792,0.9819,0.9912
7,1,0.9782,-0.0232,0.9774,0.9782,0.9896
7.02,1,0.9748,-0.0265,0.9757,0.9748,0.9882
7.04,1,0.9718,-0.0293,0.974,0.9718,0.9869
7.06,1,0.9693,-0.0318,0.9724,0.9693,0.9858
7.08,1,0.9672,-0.0339,0.9709,0.9672,0.9848
7.1,1,0.9655,-0.0354,0.9694,0.9655,0.9841
7.12,1,0.9643,-0.0365,0.968,0.9643,0.9836
7.14,1,0.9636,-0.0371,0.9667,0.9636,0.9834
7.16,1,0.9634,-0.0373,0.9654,0.9634,0.9833
7.18,1,0.9636,-0.0369,0.9642,0.9636,0.9835
7.2,1,0.9644,-0.0361,0.963,0.9644,0.9838
7.22,1,0.9655,-0.0349,0.9619,0.9655,0.9844
7.24,1,0.9671,-0.0332,0.9609,0.9671,0.9852
7.26,1,0.9691,-0.0311,0.9599,0.9691,0.9861
7.28,1,0.9715,-0.0287,0.959,0.9715,0.9872
7.3,1,0.9742,-0.0259,0.9582,0.9742,0.9884
7.32,1,0.9772,-0.0228,0.9574,0.9772,0.9898
7.34,1,0.9805,-0.0195,0.9567,0.9805,0.9913
7.36,1,0.9839,-0.016,0.9561,0.9839,0.9929
7.38,1,0.9875,-0.0123,0.9555,0.9875,0.9946
7.4,1,0.9912,-0.0085,0.955,0.9912,0.9963
7.42,1,0.995,-0.0047,0.9545,0.995,0.998
7.44,1,0.9988,-0.0009,0.9541,0.9988,0.9997
7.46,1,1.0026,0.003,0.9538,1.0026,1.0014
7.48,1,1.0062,0.0067,0.9535,1.0062,1.0031
7.5,1,1.0097,0.0102,0.9533,1.0097,1.0047
7.52,1,1.0131,0.0136,0.9532,1.0131,1.0062
7.54,1,1.0162,0.0168,0.9531,1.0162,1.0076
7.56,1,1.0191,0.0197,0.9531,1.0191,1.009
7.58,1,1.0217,0.0223,0.9531,1.0217,1.0101
7.6,1,1.024,0.0246,0.9532,1.024,1.0112
7.62,1,1.0259,0.0266,0.9533,1.0259,1.012
7.64,1,1.0275,0.0282,0.9535,1.0275,1.0128
7.66,1,1.0286,0.0294,0.9538,1.0286,1.0133
7.68,1,1.0294,0.0302,0.9541,1.0294,1.0137
7.7,1,1.0298,0.0306,0.9545,1.0298,1.0139
7.72,1,1.0298,0.0307,0.9549,1.0298,1.0139
7.74,1,1.0295,0.0303,0.9553,1.0295,1.0137
7.76,1,1.0287,0.0296,0.9558,1.0287,1.0134
7.78,1,1.0276,0.0284,0.9564,1.0276,1.0129
7.8,1,1.0261,0.027,0.9569,1.0261,1.0122
7.82,1,1.0243,0.0252,0.9576,1.0243,1.0114
7.84,1,1.0223,0.0231,0.9582,1.0223,1.0105
7.86,1,1.0199,0.0208,0.959,1.0199,1.0094
7.88,1,1.0174,0.0182,0.9597,1.0174,1.0082
7.9,1,1.0146,0.0154,0.9605,1.0146,1.007
7.92,1,1.0117,0.0125,0.9613,1.0117,1.0057
7.94,1,1.0086,0.0095,0.9622,1.0086,1.0043
7.96,1,1.0055,0.0063,0.9631,1.0055,1.0029
7.98,1,1.0024,0.0032,0.964,1.0024,1.0015
8,1,0.9992,0,0.9649,0.9992,1
8.02,1,0.9961,-0.0031,0.9659,0.9961,0.9986
8.04,1,0.9931,-0.0061,0.9669,0.9931,0.9973
8.06,1,0.9902,-0.0091,0.9679,0.9902,0.9959
8.08,1,0.9875,-0.0118,0.969,0.9875,0.9947
8.1,1,0.9849,-0.0144,0.97,0.9849,0.9935
8.12,1,0.9826,-0.0167,0.9711,0.9826,0.9925
8.14,1,0.9805,-0.0188,0.9722,0.9805,0.9915
8.16,1,0.9787,-0.0207,0.9733,0.9787,0.9907
8.18,1,0.9772,-0.0222,0.9744,0.9772,0.99
8.2,1,0.976,-0.0235,0.9756,0.976,0.9895
8.22,1,0.9751,-0.0244,0.9767,0.9751,0.989
8.24,1,0.9745,-0.025,0.9779,0.9745,0.9888
8.26,1,0.9743,-0.0253,0.9791,0.9743,0.9886
8.28,1,0.9743,-0.0252,0.9802,0.9743,0.9887
8.3,1,0.9747,-0.0248,0.9814,0.9747,0.9888
8.32,1,0.9754,-0.0242,0.9826,0.9754,0.9891
8.34,1,0.9764,-0.0232,0.9838,0.9764,0.9896
8.36,1,0.9777,-0.0219,0.985,0.9777,0.9901
8.38,1,0.9793,-0.0204,0.9861,0.9793,0.9908
8.4,1,0.9811,-0.0186,0.9873,0.9811,0.9916
8.42,1,0.9831,-0.0166,0.9885,0.9831,0.9925
8.44,1,0.9853,-0.0145,0.9897,0.9853,0.9935
8.46,1,0.9876,-0.0122,0.9908,0.9876,0.9945
8.48,1,0.9901,-0.0097,0.992,0.9901,0.9956
8.5,1,0.9926,-0.0072,0.9931,0.9926,0.9967
8.52,1,0.9952,-0.0046,0.9943,0.9952,0.9979
8.54,1,0.9979,-0.002,0.9954,0.9979,0.9991
8.56,1,1.0005,0.0006,0.9965,1.0005,1.0002
8.58,1,1.0031,0.0031,0.9976,1.0031,1.0014
8.6,1,1.0056,0.0056,0.9987,1.0056,1.0025
8.62,1,1.008,0.008,0.9997,1.008,1.0036
8.64,1,1.0102,0.0102,1.0008,1.0102,1.0046
8.66,1,1.0123,0.0123,1.0018,1.0123,1.0055
8.68,1,1.0142,0.0142,1.0028,1.0142,1.0064
8.7,1,1.0159,0.0159,1.0038,1.0159,1.0071
8.72,1,1.0174,0.0173,1.0048,1.0174,1.0078
8.74,1,1.0186,0.0185,1.0057,1.0186,1.0083
8.76,1,1.0196,0.0195,1.0066,1.0196,1.0088
8.78,1,1.0203,0.0202,1.0075,1.0203,1.0091
8.8,1,1.0208,0.0206,1.0084,1.0208,1.0093
8.82,1,1.021,0.0208,1.0093,1.021,1.0093
8.84,1,1.0209,0.0207,1.0101,1.0209,1.0093
8.86,1,1.0205,0.0203,1.0109,1.0205,1.0091
8.88,1,1.0199,0.0197,1.0116,1.0199,1.0089
8.9,1,1.0191,0.0189,1.0124,1.0191,1.0085
8.92,1,1.018,0.0178,1.0131,1.018,1.008
8.94,1,1.0167,0.0165,1.0138,1.0167,1.0074
8.96,1,1.0152,0.015,1.0145,1.0152,1.0067
8.98,1,1.0136,0.0133,1.0151,1.0136,1.006
9,1,1.0118,0.0115,1.0157,1.0118,1.0052
9.02,1,1.0098,0.0096,1.0163,1.0098,1.0043
9.04,1,1.0078,0.0076,1.0168,1.0078,1.0034
9.06,1,1.0057,0.0055,1.0173,1.0057,1.0024
9.08,1,1.0036,0.0033,1.0178,1.0036,1.0015
9.1,1,1.0014,0.0012,1.0183,1.0014,1.0005
9.12,1,0.9993,-0.0009,1.0187,0.9993,0.9996
9.14,1,0.9972,-0.003,1.0191,0.9972,0.9986
9.16,1,0.9952,-0.0051,1.0195,0.9952,0.9977
9.18,1,0.9933,-0.007,1.0198,0.9933,0.9968
9.2,1,0.9915,-0.0088,1.0201,0.9915,0.996
9.22,1,0.9898,-0.0105,1.0204,0.9898,0.9953
9.24,1,0.9883,-0.012,1.0206,0.9883,0.9946
9.26,1,0.9869,-0.0133,1.0209,0.9869,0.994
9.28,1,0.9857,-0.0145,1.021,0.9857,0.9935
9.3,1,0.9848,-0.0155,1.0212,0.9848,0.993
9.32,1,0.984,-0.0162,1.0213,0.984,0.9927
