frequency_hz,magnitude_db,phase_deg
12.4806,-19.0745,-166.3479
12.8466,-19.6157,-166.8047
13.2233,-20.1547,-167.2424
13.611,-20.6917,-167.6621
14.0102,-21.2266,-168.0648
14.421,-21.7597,-168.4515
14.8439,-22.2911,-168.823
15.2792,-22.8207,-169.1802
15.7272,-23.3489,-169.5238
16.1884,-23.8755,-169.8545
16.6632,-24.4008,-170.173
17.1518,-24.9247,-170.4798
17.6548,-25.4474,-170.7755
18.1725,-25.969,-171.0607
18.7054,-26.4894,-171.3359
19.2539,-27.0088,-171.6014
19.8185,-27.5272,-171.8577
20.3997,-28.0447,-172.1053
20.9979,-28.5613,-172.3445
21.6136,-29.0771,-172.5756
22.2475,-29.5922,-172.7991
22.8998,-30.1065,-173.0152
23.5714,-30.6201,-173.2241
24.2626,-31.133,-173.4263
24.9741,-31.6454,-173.6219
25.7064,-32.1571,-173.8113
26.4603,-32.6684,-173.9946
27.2362,-33.1791,-174.1721
28.0349,-33.6893,-174.344
28.857,-34.1991,-174.5105
29.7032,-34.7084,-174.6718
30.5742,-35.2173,-174.8281
31.4708,-35.7258,-174.9795
32.3937,-36.234,-175.1263
33.3436,-36.7418,-175.2686
34.3214,-37.2493,-175.4066
35.3278,-37.7566,-175.5404
36.3638,-38.2635,-175.6701
37.4302,-38.7701,-175.7959
38.5278,-39.2765,-175.9179
39.6576,-39.7826,-176.0362
40.8205,-40.2886,-176.151
42.0176,-40.7943,-176.2624
43.2497,-41.2998,-176.3704
44.518,-41.8051,-176.4753
45.8235,-42.3102,-176.577
47.1672,-42.8151,-176.6757
48.5504,-43.3199,-176.7715
49.9741,-43.8246,-176.8645
51.4395,-44.3291,-176.9548
52.948,-44.8334,-177.0424
54.5006,-45.3377,-177.1274
56.0989,-45.8418,-177.21
57.7439,-46.3458,-177.2901
59.4372,-46.8497,-177.3679
61.1802,-47.3535,-177.4435
62.9743,-47.8572,-177.5168
64.821,-48.3608,-177.588
66.7218,-48.8643,-177.6571
68.6784,-49.3677,-177.7243
70.6923,-49.8711,-177.7895
72.7654,-50.3744,-177.8528
74.8992,-50.8776,-177.9142
77.0955,-51.3808,-177.9739
79.3563,-51.8839,-178.0319
81.6834,-52.3869,-178.0882
84.0787,-52.8899,-178.1429
86.5443,-53.3929,-178.196
89.0822,-53.8958,-178.2476
91.6945,-54.3986,-178.2977
94.3834,-54.9014,-178.3463
97.1511,-55.4042,-178.3936
100,-55.9069,-178.4394
